corridor,bhk,carpet_area,bathrooms,floor,gym,parking,security,lift,clubhouse,swimming_pool,garden,price_lakhs
dehu_solapur,4,1260,4,11,1,0,0,0,1,0,0,157.0
kolhapur_nashik,1,1169,2,12,1,1,1,1,1,0,0,143.7
kolhapur_nashik,2,421,2,12,0,0,0,0,0,1,1,67.08
kolhapur_nashik,2,962,3,23,1,1,0,0,0,0,0,120.43
dehu_solapur,1,1697,2,25,1,1,1,1,0,1,0,164.01
kolhapur_nashik,3,1175,3,3,1,0,1,1,1,1,1,156.99
kolhapur_nashik,2,1529,3,22,0,0,1,1,1,1,1,189.03
kolhapur_nashik,3,855,4,23,1,0,1,1,0,1,0,139.3
kolhapur_nashik,3,1476,4,26,0,1,1,1,0,0,0,193.1
dehu_solapur,3,778,3,10,0,1,0,1,0,0,1,107.18
kolhapur_nashik,2,902,2,30,1,0,0,1,1,1,0,117.61
dehu_solapur,2,1428,3,23,0,1,0,0,0,0,0,150.99
kolhapur_nashik,2,1884,2,7,0,1,0,1,1,1,0,207.57
dehu_solapur,1,1459,1,7,0,0,1,1,1,1,0,131.34
kolhapur_nashik,1,1195,2,12,1,1,1,1,0,1,1,143.49
kolhapur_nashik,1,1808,1,27,1,0,1,0,0,0,0,188.59
kolhapur_nashik,4,1834,4,30,0,0,0,1,1,1,0,231.29
kolhapur_nashik,1,1536,2,17,1,1,1,1,0,1,0,172.5
dehu_solapur,1,1098,1,2,1,1,1,0,0,1,0,115.61
dehu_solapur,4,2095,5,23,1,0,0,1,0,0,0,226.83
kolhapur_nashik,4,597,5,11,0,1,1,0,0,1,0,124.18
dehu_solapur,2,2386,2,19,1,1,0,1,0,0,1,230.95
kolhapur_nashik,3,1040,3,28,0,0,1,0,0,1,1,152.53
kolhapur_nashik,4,1416,5,28,0,1,0,1,1,1,0,193.58
dehu_solapur,4,2456,4,3,0,1,1,0,1,1,1,252.97
dehu_solapur,1,1843,2,8,1,1,0,1,1,0,0,177.93
dehu_solapur,1,2319,2,18,1,1,0,1,0,0,1,208.05
dehu_solapur,4,1927,5,8,0,0,0,1,0,1,1,210.0
dehu_solapur,3,869,3,22,1,1,1,1,0,0,1,117.92
dehu_solapur,2,1359,2,5,1,0,1,0,1,0,1,144.58
